"O.NET.SOC.Code","short_code","Title","Scale.ID","Reading Comprehension","Active Listening","Writing","Speaking","Mathematics","Science","Critical Thinking","Active Learning","Learning Strategies","Monitoring","Social Perceptiveness","Coordination","Persuasion","Negotiation","Instructing","Service Orientation","Complex Problem Solving","Operations Analysis","Technology Design","Equipment Selection","Installation","Programming","Operations Monitoring","Operation and Control","Equipment Maintenance","Troubleshooting","Repairing","Quality Control Analysis","Judgment and Decision Making","Systems Analysis","Systems Evaluation","Time Management","Management of Financial Resources","Management of Material Resources","Management of Personnel Resources"
"17-2199.09","17-2199","Nanosystems Engineers","LV",5,3.88,4.62,4.25,4.75,4.75,4.88,4.88,3.5,4,3.25,3.38,3.38,3,3.38,3,4.12,4,3.88,3.38,0,2.88,3,2,2.25,2.62,2.12,3.75,4,3.75,3.75,3.62,2.25,2.25,3.12
"17-2199.10","17-2199","Wind Energy Engineers","LV",4.62,3.75,3.75,3.5,4.5,3.75,4.5,3.75,2.88,4,3,3.5,3.38,2.88,3.38,2.75,4,3.62,2.62,0.38,0,1.88,2.75,2.12,0.25,1.75,0,3,4,3.75,3.62,3.25,1.75,2.12,3
"17-2199.11","17-2199","Solar Energy Systems Engineers","LV",4.12,4,4,4,4,3.88,4,3.88,3,3.62,3.25,3.38,3,3,3,2.88,4,2.5,2.5,1.88,0,2,3,2.25,1.75,2.25,1.62,3.12,3.25,3.12,3.25,3.12,2,1.88,2.5
"19-4051.00","19-4051","Nuclear Technicians","LV",3.62,3.75,3.38,3.5,3,2.88,3.38,2.88,2.88,3.5,3.25,3.12,2.88,2.62,3.12,2.75,3.12,1.25,1.12,2.5,0.62,1.62,4.12,3.5,3.12,3.25,3,3.62,3.25,2.88,3.12,3.12,1,1.25,2.62
"19-4051.02","19-4051","Nuclear Monitoring Technicians","LV",4,3.88,3.62,3.38,3.12,3.12,4,3.12,3.25,4,2.88,3,2.75,2.75,3,2.75,3.12,0.25,0.62,0.5,0,0.62,3.62,2.88,1.25,2.75,0.75,3.12,3.38,3,2.88,3.12,1.12,1.12,2.75
"41-4011.00","41-4011","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","LV",4.12,4.12,3.62,4,2.88,0.62,3.75,3.75,3,3.12,3.75,3.38,4,4,3.12,3.38,3.12,2.5,1.62,0.62,0,1,1.62,1.25,0,0,0,1.12,3.38,3,2.62,3,2.62,2.5,2.5
"41-4011.07","41-4011","Solar Sales Representatives and Assessors","LV",3.62,3.75,3,4,3,0.5,3.62,3,2.75,3.12,3.12,3.12,3.88,3.62,3,3.75,3.12,1.75,1.38,0.38,0,0.5,1.5,1.12,0,0.75,0,2,3,2.75,3,2.88,1.75,0.88,2
"47-1011.00","47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","LV",3.62,3.62,3.12,3.75,3,0.75,3.38,3.12,3,3.38,3.38,3.88,3.12,3,3,3,3.25,2.62,0.75,2.62,0,0.25,2.88,3,2,2,2,3.12,3.12,3,3.12,3.5,2,2.25,3.88
"47-1011.03","47-1011","Solar Energy Installation Managers","LV",3.75,3.62,3.25,3.62,3,1.25,3.62,3.25,3,3.75,3.5,3.75,3.38,3.62,3.25,3.12,3.25,1.88,1.62,2.25,1.75,0.5,3,3,2.12,2.62,2.38,3.12,3.38,3,3.12,3.75,3,2.88,3.88
"47-2211.00","47-2211","Sheet Metal Workers","LV",2.75,2.88,2,2.88,3.12,0.88,3,2.38,2.38,2.88,2,3.12,1.88,1.88,2.75,2,2.62,1.88,1.12,2.25,2.38,0.38,2.75,2.88,2.88,2.88,2.88,3.12,2.88,2,2,3,0.75,1.12,2.62
"47-2231.00","47-2231","Solar Photovoltaic Installers","LV",3,3,2.88,3,2.75,1.62,3.5,3,2,3,2.25,3,2.25,2.12,2.88,2.12,3,1.75,1.38,2.75,3.38,0.62,2.88,2.88,2.88,3.12,2.62,3.25,2.88,2.88,2.88,3,1.25,1.75,2.12
"47-4099.03","47-4099","Weatherization Installers and Technicians","LV",3,3,3,3,2.75,0.88,3.25,2.88,2.38,3.25,2.38,3,2.75,2.25,2.62,3,2.38,1.88,1.38,2.12,2.88,0.88,2.88,3,2.62,3,2.88,2.88,3,2.75,2.5,2.88,2,2,2.5
"49-9081.00","49-9081","Wind Turbine Service Technicians","LV",3.25,3.12,2.75,3,2.75,2,3.12,3.12,3,3.12,2.75,3.25,1.75,1.88,2.88,2.12,3,1,1.5,2.88,1.12,0.62,3.25,3.12,3.75,4,3.88,3.12,3,3.12,3,2.88,1,2.25,2.5
"49-9099.01","49-9099","Geothermal Technicians","LV",3.12,3,3,3,3.12,2,3.12,3,2.25,3.62,2.25,3.12,2.25,2.12,2.62,2.38,2.88,1.62,1.5,2.88,3.12,1.12,4,3.75,3.25,3.75,3.62,3.25,3,3,3,3,1.38,1.75,2.25
"51-4041.00","51-4041","Machinists","LV",3,2.88,2.62,3,2.75,0.75,3.12,2.88,2.38,3.12,2.75,3,2.12,2.12,2.75,2.12,3,1.88,1.88,2.62,2.38,1.12,3.25,3.38,2.88,2.88,2.75,3,2.75,2.12,2.25,2.62,0.75,1,2
"51-8011.00","51-8011","Nuclear Power Reactor Operators","LV",3.88,3.88,3,3.25,2.75,3,4,3.12,3,4,3.12,3.25,2.88,2.75,3,2.88,3.25,0.5,0.5,0,0,1.25,3.88,3.75,0.12,3.12,0.38,3.25,3.38,3,2.88,3.38,1.25,1.25,3
"51-8012.00","51-8012","Power Distributors and Dispatchers","LV",3.62,3.62,3,3.38,2.88,1.25,3.75,3,2.75,3.5,2.62,3.25,2.62,2.62,2.88,2.88,3.25,2.12,0.62,0.75,0.12,0.38,3.38,3.12,1.5,2.25,1.5,2.88,3.25,2.88,2.88,3,0.62,1,3
"51-8013.00","51-8013","Power Plant Operators","LV",3.12,3.12,3,3,1.88,1.75,3.75,3,2,3.12,2.88,3,2.12,2,2.5,2.62,3,0.88,0.75,2.12,0.62,0.88,4,4,3,3.12,3.12,3.12,3.12,2.5,2.25,2.88,1.12,1.12,2.38
"51-8013.03","51-8013","Biomass Plant Technicians","LV",3,3,3,3,2.75,1.62,3.12,3,3,3.25,2.88,2.88,2.5,2.12,2.75,2.88,3,1.25,0.88,2.12,0.12,0.75,3.88,3.5,3.12,2.88,2.88,3,3,2.75,2.25,3,1,1.62,2.25
"51-8013.04","51-8013","Hydroelectric Plant Technicians","LV",3.62,3.12,3,3,3.12,2,3.12,3,2.5,3.75,2.75,3,2.5,2.12,2.62,2.25,3,0.5,1.38,2.88,2.75,1.25,3.88,3.62,3.88,3.75,3.75,3.12,3,2.88,2.88,2.88,1,1.25,2.25
"51-8099.01","51-8099","Biofuels Processing Technicians","LV",3.75,3.38,3,3.5,2.88,2.5,3.12,2.75,2.75,3.25,3.12,3.12,2.5,2.62,3,2.75,3,0.25,0.75,2.25,0.88,1,3.75,3.5,3.38,3.25,3.12,3.38,3.25,2.88,2.75,3,1.38,2,2.38
"51-9012.00","51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","LV",2.88,3,2.88,2.88,2.62,2,3,2.88,2.88,3.12,2.62,2.88,2.12,2,2.62,2.12,2.88,1,0.88,1.88,1.75,0.75,3.75,3.12,2.62,2.62,2.62,2.75,2.75,2.5,2.12,2.88,1.38,1.75,2.38
